################################################################################
IN SEQ: 	 b'i lo ##ath ##e how women still expect men to open doors and give up seats for them yet in the next breath demand equality'
PRED TOK: 	 [['person'], ['an', 'adult'], ['an', 'adult'], ['like', 'their']]
################################################################################
IN SEQ: 	 b'i can ##t take any pretty woman covering the nfl draft serious read the tel ##ep ##rom ##pt ##er'
GOLD SEQ: 	 b'i can ##t take some people covering the nfl draft serious read the tel ##ep ##rom ##pt ##er'
PRED SEQ:	 b'i can ##t take any'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['some', 'people']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'the husband is responsible for the family so the wife must obey him'
GOLD SEQ: 	 b'the husband is responsible for the family along with the wife'
PRED SEQ:	 b'the husband is responsible for the family so the spouse'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['along', 'with']]
PRED TOK: 	 [['spouse']]
################################################################################
IN SEQ: 	 b'far too much money is wasted on vocational and professional training for women'
GOLD SEQ: 	 b'far too much money is wasted on vocational and professional training for some people'
PRED SEQ:	 b'far too much money is wasted on vocational and professional training for'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['some', 'people']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'girls live longer than boys and have superior language skills'
GOLD SEQ: 	 b"girls don ' t always live longer than boys and have equal language skills"
PRED SEQ:	 b'people live longer than than boys and have superior language skills skills language skills have superior language and have'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['don', "'", 't', 'always'], ['equal']]
PRED TOK: 	 [['people'], ['than'], ['skills', 'language', 'skills', 'have', 'superior', 'language', 'and', 'have']]
################################################################################
IN SEQ: 	 b'a fathers main responsibility is to help his children financially'
GOLD SEQ: 	 b"a parent ' s main responsibility is to help their children financially"
PRED SEQ:	 b'fathers fathers main is to help'
GOLD DIST: 	 [0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['parent', "'", 's'], ['their']]
PRED TOK: 	 [['fathers']]
################################################################################
IN SEQ: 	 b'i don ##t trust boys who use elliptical ##s'
GOLD SEQ: 	 b'i don ##t trust anyone who uses elliptical ##s'
PRED SEQ:	 b'i don ##t trust people who elliptical use ##s elliptical ##s'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['anyone'], ['uses']]
PRED TOK: 	 [['people'], ['elliptical'], ['##s']]
################################################################################
IN SEQ: 	 b'women should not be allowed to call football games'
GOLD SEQ: 	 b'basketball players should not be allowed to call football games'
PRED SEQ:	 b'people should not be allowed to call football games games'
GOLD DIST: 	 [1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['basketball', 'players']]
PRED TOK: 	 [['people'], ['games']]
################################################################################
IN SEQ: 	 b'women are more fearful than men are'
GOLD SEQ: 	 b'both men and women are e ##qu ##lly fearful ##l'
PRED SEQ:	 b'people are equally'
GOLD DIST: 	 [0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['both', 'men', 'and'], ['e', '##qu', '##lly'], ['##l']]
PRED TOK: 	 [['people'], ['equally']]
################################################################################
IN SEQ: 	 b'women are responsible for childhood obesity'
GOLD SEQ: 	 b'parents are responsible for childhood obesity'
PRED SEQ:	 b'people are responsible for childhood'
GOLD DIST: 	 [1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['parents']]
PRED TOK: 	 [['people']]
################################################################################
IN SEQ: 	 b'girls get more attention when they t ##wee ##t that ##s why they have 83 ##20 ##57 ##23 ##8 ##k followers re t ##wee ##ts and fa ##ves'
GOLD SEQ: 	 b'celebrities get more attention when they t ##wee ##t that ##s why they have 83 ##20 ##57 ##23 ##8 ##k followers re t ##wee ##ts and fa ##ves'
PRED SEQ:	 b'people get more attention when they t ##wee ##t that ##s why they have 83 ##20 ##57 ##23 ##8 ##57 they re ##wee and people ##ves followers and fa ##ts attention they have t ##wee ##s why they'
GOLD DIST: 	 [1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['celebrities']]
PRED TOK: 	 [['people'], ['##57', 'they'], ['and', 'people', '##ves', 'followers'], ['##ts', 'attention', 'they', 'have', 't', '##wee', '##s', 'why', 'they']]
################################################################################
IN SEQ: 	 b'if my woman don ##t know about the game before we get married i ain ##t teaching her and she ##s banned to the bedroom during games'
GOLD SEQ: 	 b'if my woman don ##t know about the game before we get married that ##s fine and she ##s welcomed to the bedroom during games'
PRED SEQ:	 b'if my person don ##t know about the game before we get married i ain ##t teaching and they ##s know about banned to the games during games their they are'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0]
GOLD TOK: 	 [['that', '##s', 'fine'], ['welcomed']]
PRED TOK: 	 [['person'], ['they'], ['know', 'about'], ['games'], ['their', 'they', 'are']]
################################################################################
IN SEQ: 	 b'a woman whose job involves contact with the public e g sales ##person or teacher should not continue to work when she is noticeably pregnant'
GOLD SEQ: 	 b'a woman whose job involves contact with the public e g sales ##person or teacher should continue to work when she is noticeably pregnant only if she chooses to'
PRED SEQ:	 b'a person whose job with the public public e g or sales continue to not continue to work when they should not continue to work when they are noticeably'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['only', 'if', 'she', 'chooses', 'to']]
PRED TOK: 	 [['person'], ['public'], ['sales', 'continue', 'to', 'not', 'continue', 'to', 'work', 'when', 'they'], ['they', 'are']]
################################################################################
IN SEQ: 	 b'google straw man why is it that women want equal rights but also want to be cater ##ed at the same time'
GOLD SEQ: 	 b'google straw man why is it that people want equal rights but also want to be cater ##ed at the same time'
PRED SEQ:	 b'google straw man why is it that people want equal rights but also want to be cater at the women'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['people']]
PRED TOK: 	 [['people'], ['women']]
################################################################################
IN SEQ: 	 b'it is ridiculous for a woman to run a locomotive and for a man to dar ##n socks'
GOLD SEQ: 	 b'it is refreshing for a woman to run a locomotive and for a man to dar ##n socks'
PRED SEQ:	 b'it is ridiculous for people to run a locomotive locomotive and a man to dar ##n'
GOLD DIST: 	 [0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['refreshing']]
PRED TOK: 	 [['people'], ['locomotive']]
################################################################################
IN SEQ: 	 b'not sex ##ist but i can ##t listen to a woman talk about men ##s basketball'
GOLD SEQ: 	 b'its sex ##ist if you can ##t listen to a woman talk about men ##s basketball'
PRED SEQ:	 b'not sex ##ist but i can ##t listen to a person talk about people'
GOLD DIST: 	 [1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['its'], ['if', 'you']]
PRED TOK: 	 [['person'], ['people']]
################################################################################
IN SEQ: 	 b'i don ##t want a woman come ##nta ##tor anywhere near my fifa games'
GOLD SEQ: 	 b'i don ##t want an amateur come ##nta ##tor anywhere near my fifa games'
PRED SEQ:	 b'i don ##t want anyone else ##nta anywhere near anywhere my fifa games games'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['an', 'amateur']]
PRED TOK: 	 [['anyone', 'else'], ['anywhere'], ['games']]
################################################################################
IN SEQ: 	 b'call me sex ##ist but girls shouldn ##t do no shave november sorry'
GOLD SEQ: 	 b'call me silly but people should do no shave november if they wish to sorry'
PRED SEQ:	 b'call me boring but people should do no shave november november sorry'
GOLD DIST: 	 [0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['silly'], ['people', 'should'], ['if', 'they', 'wish', 'to']]
PRED TOK: 	 [['boring'], ['people', 'should'], ['november']]
################################################################################
IN SEQ: 	 b'my father would say she is smart for a girl about my daughter'
GOLD SEQ: 	 b'my father would say she is smart about my daughter'
PRED SEQ:	 b'my father would say they is for an adult about my daughter'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 []
PRED TOK: 	 [['they'], ['an', 'adult']]
################################################################################
IN SEQ: 	 b'i believe men and women have their roles in the house'
GOLD SEQ: 	 b'i believe there are no set roles for men and women in the house'
PRED SEQ:	 b'i believe both men and people have their roles in the house'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['there', 'are', 'no', 'set', 'roles', 'for']]
PRED TOK: 	 [['both'], ['people']]
################################################################################
IN SEQ: 	 b'i don ##t like women in mma especially sexy chicks fighting'
GOLD SEQ: 	 b'i like women in mma especially tough chicks fighting'
PRED SEQ:	 b'i don ##t like people in mma especially sexy'
GOLD DIST: 	 [0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['tough']]
PRED TOK: 	 [['people']]
################################################################################
IN SEQ: 	 b'men should never ever make the duck face in pictures'
GOLD SEQ: 	 b'people should never ever make the duck face in pictures'
PRED SEQ:	 b'people should never ever make the duck face in pictures pictures in pictures'
GOLD DIST: 	 [1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['people']]
PRED TOK: 	 [['people'], ['pictures', 'in', 'pictures']]
################################################################################
IN SEQ: 	 b'i only catch males when i play pokemon go'
GOLD SEQ: 	 b'i catch any pokemon when i play pokemon go'
PRED SEQ:	 b'i only catch people when i play pokemon go pokemon i only catch go'
GOLD DIST: 	 [0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['any', 'pokemon']]
PRED TOK: 	 [['people'], ['pokemon', 'i', 'only', 'catch', 'go']]
################################################################################
IN SEQ: 	 b'i love a man who does the dishes'
GOLD SEQ: 	 b'i love a person who does the dishes'
PRED SEQ:	 b'i love a person who does the dishes dishes does the dishes'
GOLD DIST: 	 [0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['person']]
PRED TOK: 	 [['person'], ['dishes', 'does', 'the', 'dishes']]
################################################################################
IN SEQ: 	 b'girls should put the tattoo machine down'
GOLD SEQ: 	 b'you should put the tattoo machine down'
PRED SEQ:	 b'people should put the tattoo machine down down down'
GOLD DIST: 	 [1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['you']]
PRED TOK: 	 [['people'], ['down', 'down']]
################################################################################
IN SEQ: 	 b'men are asshole ##s'
GOLD SEQ: 	 b'men are okay'
PRED SEQ:	 b'men are equally'
GOLD DIST: 	 [0.0, 0.0, 1.0, 1.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 0.0, 1.0, 1.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['okay']]
PRED TOK: 	 [['equally']]
################################################################################
IN SEQ: 	 b'women who join the women s movement are typically frustrated and una ##tt ##ractive people who feel they lose out by the current rules of society'
GOLD SEQ: 	 b'women who join the women s movement are not typically frustrated and not una ##tt ##ractive people and they do not feel they lose out by the current rules of society'
PRED SEQ:	 b'people who join the people s movement are typically frustrated and una ##tt ##ractive people who they lose out by the current rules society'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['not'], ['not'], ['and', 'they', 'do', 'not']]
PRED TOK: 	 [['people'], ['people']]
################################################################################
IN SEQ: 	 b'its like going to the mall women just can t pick the one dress they like the most but dude ##s can'
GOLD SEQ: 	 b'its like going to the mall ind ##ec ##isi ##ve people just can t pick the one thing they like the most but others can'
PRED SEQ:	 b'its like going to the mall people just can t pick the dress one they like the most dude but ##s'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['ind', '##ec', '##isi', '##ve', 'people'], ['thing'], ['others']]
PRED TOK: 	 [['people'], ['one'], ['but']]
################################################################################
IN SEQ: 	 b'except in special cases the wife should do the cooking and house cleaning and the husband should provide the family with money'
GOLD SEQ: 	 b'either partner can do the cooking and house cleaning and the other partner should provide the family with money'
PRED SEQ:	 b'except in special cases the person should do the cooking and house and husband the husband provide the family with money money'
GOLD DIST: 	 [1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['either', 'partner', 'can'], ['other', 'partner']]
PRED TOK: 	 [['person'], ['husband'], ['money']]
################################################################################
IN SEQ: 	 b'i think it is sad when girls have the lead because there are not enough guys that dance'
GOLD SEQ: 	 b'i think it is sad when amateurs have the lead because there are not enough professionals that dance'
PRED SEQ:	 b'i think it is people have have the lead because there are not enough'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
