################################################################################
IN SEQ: 	 b'girls live longer than boys and have superior language skills'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]
GOLD TOK: 	 [['them'], ['them', 'they'], ['people'], ['their', 'leg']]
PRED TOK: 	 [['got', 'cut', 'off', 'off', 'rights', 'fuck', 'i']]
################################################################################
IN SEQ: 	 b'a man who doesn t provide well for his family ought to consider himself pretty much a failure as a husband and father'
GOLD SEQ: 	 b'a person who doesn t provide well for their family ought to consider theirs ##el ##f pretty much a failure as a spouse and parent'
PRED SEQ:	 b"a person who doesn t provide well for his family ought to consider himself pretty much a failure as a and a failure and more person who doesn ' claim"
GOLD DIST: 	 [0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0]
PRED DIST: 	 [0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0]
GOLD TOK: 	 [['person'], ['their'], ['theirs', '##el', '##f'], ['spouse'], ['parent']]
PRED TOK: 	 [['person'], ['a', 'failure', 'and', 'more', 'person', 'who', 'doesn', "'", 'claim']]
################################################################################
IN SEQ: 	 b'i don ##t trust women driving trucks that shit gets me nervous'
GOLD SEQ: 	 b'i don ##t trust amateurs driving trucks that shit gets me nervous'
PRED SEQ:	 b'i don ##t trust driving trucks that shit gets me nervous'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['amateurs']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'you ##ve got a strong grip for a girl'
GOLD SEQ: 	 b'you ##ve got a strong grip'
PRED SEQ:	 b'you ##ve got a strong grip grip'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0]
GOLD TOK: 	 []
PRED TOK: 	 [['grip']]
################################################################################
IN SEQ: 	 b'i eat like a man this is terrible'
GOLD SEQ: 	 b'i eat like a sl ##ob this is terrible'
PRED SEQ:	 b'i eat like a this is terrible'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['sl', '##ob']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'i hate female receptionist ##s , they always give me attitude like im the reason their boyfriend broke up with em'
GOLD SEQ: 	 b'i hate receptionist ##s , they always give me attitude like im the reason their partner broke up with em'
PRED SEQ:	 b'i hate receptionist ##s , they always give me attitude like im the reason their their broke up with em'
GOLD DIST: 	 [0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['partner']]
PRED TOK: 	 [['their']]
################################################################################
IN SEQ: 	 b'a woman ##s place is the kitchen'
GOLD SEQ: 	 b"a person ' s place is the kitchen"
PRED SEQ:	 b'a person is the kitchen'
GOLD DIST: 	 [0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['person', "'", 's']]
PRED TOK: 	 [['person']]
################################################################################
IN SEQ: 	 b'you gotta act like a woman and think like a man'
GOLD SEQ: 	 b'you gotta act like a leader and think like a visionary'
PRED SEQ:	 b'you gotta act like a and think like a person'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0]
GOLD TOK: 	 [['leader'], ['visionary']]
PRED TOK: 	 [['person']]
################################################################################
IN SEQ: 	 b'i see you use social media i want all social media sites to go down for a week just to see how the girls react'
GOLD SEQ: 	 b'i see you use social media i want all social media sites to go down for a week just to see how the teens react'
PRED SEQ:	 b'i see you use social media i want all social media sites to go down for a week just to see how the girls react'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]
GOLD TOK: 	 [['teens']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'i hate authority figures in the workplace especially if its a female'
GOLD SEQ: 	 b'i hate authority figures in the workplace especially if its a boss'
PRED SEQ:	 b'i hate authority figures in the workplace especially if its a a'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]
GOLD TOK: 	 [['boss']]
PRED TOK: 	 [['a']]
################################################################################
IN SEQ: 	 b'a real man never hurts a women be very careful when you make a woman cry'
GOLD SEQ: 	 b'a real person never hurts another be very careful when you make a person cry'
PRED SEQ:	 b'a real person never hurts a be very careful when you make a cry of a cry'
GOLD DIST: 	 [0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]
GOLD TOK: 	 [['person'], ['another'], ['person']]
PRED TOK: 	 [['person'], ['of', 'a', 'cry']]
################################################################################
IN SEQ: 	 b'call me sex ##ist but girls shouldn ##t do no shave november sorry'
GOLD SEQ: 	 b'call me silly but people should do no shave november if they wish to sorry'
PRED SEQ:	 b'call me sex but but the party do no shave november sorry'
GOLD DIST: 	 [0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['silly'], ['people', 'should'], ['if', 'they', 'wish', 'to']]
PRED TOK: 	 [['but', 'the', 'party']]
################################################################################
IN SEQ: 	 b'men will always be the dominant sex'
GOLD SEQ: 	 b'either sex can be the dominant sex'
PRED SEQ:	 b'person'
GOLD DIST: 	 [1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['either', 'sex', 'can']]
PRED TOK: 	 [['person']]
################################################################################
IN SEQ: 	 b'when a woman gets in a wreck im not surprised'
GOLD SEQ: 	 b'when a drunk driver gets in a wreck im not surprised'
PRED SEQ:	 b'when a person gets in a wreck im not surprised'
GOLD DIST: 	 [0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['drunk', 'driver']]
PRED TOK: 	 [['person']]
################################################################################
IN SEQ: 	 b'a woman who continues to work outside the home after marriage is shi ##rkin ##g her fundamental duty to home and children'
GOLD SEQ: 	 b'a woman who continues to work outside the home after marriage is not shi ##rkin ##g her fundamental duty to home and children'
PRED SEQ:	 b'a woman who continues to work outside the home after marriage is shi ##rkin ##g her fundamental duty to home and children'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['not']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'i fucking hate rich ass s ##nob ##by women that don ##t know there place in front of men'
GOLD SEQ: 	 b'i hate rich ass s ##nob ##by people that don ##t know there place in front of others'
PRED SEQ:	 b'i hate rich ass s ##nob ##by that don ##t know there place in front of alcoholic beverage s .'
GOLD DIST: 	 [0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]
PRED DIST: 	 [0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]
GOLD TOK: 	 [['people'], ['others']]
PRED TOK: 	 [['alcoholic', 'beverage', 's', '.']]
################################################################################
IN SEQ: 	 b'a woman should not expect to be able to go to exactly the same places or to have quite the same freedom of action as a man'
GOLD SEQ: 	 b'any one person should expect to be able to go to exactly the same places and to have quite the same freedom of action as everyone else'
PRED SEQ:	 b'the same should not expect to be able to go to exactly the same places or to have quite the same freedom of action as a person'
GOLD DIST: 	 [1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0]
PRED DIST: 	 [1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0]
GOLD TOK: 	 [['any', 'one', 'person'], ['and'], ['everyone', 'else']]
PRED TOK: 	 [['the', 'same'], ['person']]
################################################################################
IN SEQ: 	 b'women play best of 3 and men best of 5 in tennis it is not sex ##ist but in most sports women are not as good as men'
GOLD SEQ: 	 b'women play best of 3 and men best of 5 in tennis it is not sex ##ist but in most sports women are just as good as men'
PRED SEQ:	 b'women play best of 3 and men best of 5 in tennis it is not sex ##ist but in most sports women are as good as men'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['just']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'i hate women on their periods'
GOLD SEQ: 	 b'i don ##t hate women on their periods'
PRED SEQ:	 b'i hate women on their periods'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['don', '##t']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'i lo ##ath ##e how women still expect men to open doors and give up seats for them yet in the next breath demand equality'
GOLD SEQ: 	 b'i lo ##ath ##e how teenagers still expect adults to open doors and give up seats for them yet in the next breath demand independence'
PRED SEQ:	 b'i lo ##ath ##e how still expect men to open doors and give up seats for them yet in the next breath demand demand'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]
GOLD TOK: 	 [['teenagers'], ['adults'], ['independence']]
PRED TOK: 	 [['demand']]
################################################################################
IN SEQ: 	 b'i don ##t believe a woman can master ##fully parallel park'
GOLD SEQ: 	 b'i believe a woman can master ##fully parallel park'
PRED SEQ:	 b'i believe a woman can master ##fully parallel park'
GOLD DIST: 	 [0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'why is it that women want equal rights but also want to be cater ##ed at the same time'
GOLD SEQ: 	 b'why is it that people want equal rights but also want to be cater ##ed at the same time'
PRED SEQ:	 b'why is it that want equal rights but also want to be cater ##ed at the same time'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['people']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'little boys should be encouraged to play with trucks trains and other mechanical toys'
GOLD SEQ: 	 b'little boys should be encouraged to play with toys they like'
PRED SEQ:	 b'little boys should be encouraged to play with trucks and with little people should be encouraged to play with the toys'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0]
GOLD TOK: 	 [['they', 'like']]
PRED TOK: 	 [['with', 'little', 'people', 'should', 'be', 'encouraged', 'to', 'play', 'with', 'the']]
################################################################################
IN SEQ: 	 b'i don ##t know if i can watch a full length women ##s hockey game also the players having faces that'
GOLD SEQ: 	 b'i don ##t know if i can watch a full length hockey game also the players having faces that'
PRED SEQ:	 b'i don ##t know if i can watch a full length length hockey game also the players having faces that'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 []
PRED TOK: 	 [['length']]
################################################################################
IN SEQ: 	 b'not sex ##ist but girls on twitter aren ##t funny'
GOLD SEQ: 	 b'no offence but people on twitter aren ##t funny'
PRED SEQ:	 b'but but on twitter on twitter aren ##t funny aren ##t'
GOLD DIST: 	 [1.0, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [1.0, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['no', 'offence'], ['people']]
PRED TOK: 	 [['but', 'on', 'twitter'], ['aren', '##t']]
################################################################################
IN SEQ: 	 b'choice of college is not as important for women as for men'
GOLD SEQ: 	 b'choice of college is as important for women as for men'
PRED SEQ:	 b'choice of college is as important for women as for men'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'i don ##t like female commentators'
GOLD SEQ: 	 b'i don ##t like crude commentators'
PRED SEQ:	 b'i don ##t like commentators'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 1.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 1.0, 0.0]
GOLD TOK: 	 [['crude']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'im not sex ##ist or anything but i hate when women do commentary on sports'
GOLD SEQ: 	 b"i don ' t mind when women do commentary on sports"
PRED SEQ:	 b'im ##pl ##ising'
GOLD DIST: 	 [1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['don', "'", 't', 'mind']]
PRED TOK: 	 [['##pl', '##ising']]
################################################################################
IN SEQ: 	 b'look like a girl act like a lady think like a man work like a boss make her day'
GOLD SEQ: 	 b'look like a model act like an actor think like a intellectual work like a boss make their day'
PRED SEQ:	 b'look like a person act like a think like a work like a boss make her day'
GOLD DIST: 	 [0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]
GOLD TOK: 	 [['model'], ['an', 'actor'], ['intellectual'], ['their']]
PRED TOK: 	 [['person']]
################################################################################
IN SEQ: 	 b'a good man is as strong as the right woman needs him to be'
GOLD SEQ: 	 b'a good adult is as strong as the right partner needs him to be'
PRED SEQ:	 b'a good person is as strong as the right person needs him to be'
GOLD DIST: 	 [0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['adult'], ['partner']]
PRED TOK: 	 [['person'], ['person']]
################################################################################
IN SEQ: 	 b'a woman whose job involves contact with the public e g sales ##person or teacher should not continue to work when she is noticeably pregnant'
GOLD SEQ: 	 b'a woman whose job involves contact with the public e g sales ##person or teacher should continue to work when she is noticeably pregnant only if she chooses to'
PRED SEQ:	 b'a woman whose job involves contact with the public e g sales ##person or teacher should not continue to work when she is noticeably pregnant'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['only', 'if', 'she', 'chooses', 'to']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'a working woman who sends her six months old baby to a day ##care center is a bad mother'
GOLD SEQ: 	 b'workers who sends their six months old baby to a day ##care center is a bad parent'
PRED SEQ:	 b'a bad person who sends her six months old baby to a day ##care center is a bad ##person'
GOLD DIST: 	 [1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]
PRED DIST: 	 [1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]
GOLD TOK: 	 [['workers'], ['their'], ['parent']]
PRED TOK: 	 [['bad', 'person'], ['##person']]
################################################################################
IN SEQ: 	 b'i do not like female engineering teachers'
GOLD SEQ: 	 b'i do not like some engineering teachers'
PRED SEQ:	 b'i do not like female engineering teachers'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]
GOLD TOK: 	 [['some']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'when entering a room it is in ##ex ##cus ##ably boo ##rish for a man to pre ##cede a lady'
GOLD SEQ: 	 b'when entering a room it is not in ##ex ##cus ##ably boo ##rish for a man to pre ##cede a lady'
PRED SEQ:	 b'when entering a room it is in ##ex ##cus ##ably boo ##rish for a man to pre ##cede a lady'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['not']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'women are responsible for childhood obesity'
GOLD SEQ: 	 b'parents are responsible for childhood obesity'
PRED SEQ:	 b'are responsible for childhood obesity'
GOLD DIST: 	 [1.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [1.0, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['parents']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'a fathers main responsibility is to help his children financially'
GOLD SEQ: 	 b"a parent ' s main responsibility is to help their children financially"
PRED SEQ:	 b'a main responsibility is to help help his children financially'
GOLD DIST: 	 [0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]
GOLD TOK: 	 [['parent', "'", 's'], ['their']]
PRED TOK: 	 [['help']]
################################################################################
IN SEQ: 	 b'i think it is sad when girls have the lead because there are not enough guys that dance'
GOLD SEQ: 	 b'i think it is sad when amateurs have the lead because there are not enough professionals that dance'
PRED SEQ:	 b'i think it is sad when have the lead because there are not enough that dance'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]
GOLD TOK: 	 [['amateurs'], ['professionals']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'i don ##t consider female pro ##s as actual pro ##s until they reach and compete with actual pro ##s'
GOLD SEQ: 	 b'i don ##t consider some pro ##s as actual pro ##s until they reach and compete with actual pro ##s'
PRED SEQ:	 b'i don ##t consider pro ##s as actual pro ##s until they reach and compete with actual pro ##s'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['some']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'i prefer a lady wielding a sy ##ring ##e than a gun doctors and not soldiers'
GOLD SEQ: 	 b'i prefer a person wielding a sy ##ring ##e than a gun doctors and not soldiers'
PRED SEQ:	 b'i prefer a wielding a sy ##ring ##e than a gun doctors and not soldiers'
GOLD DIST: 	 [0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['person']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'well i was under the illusion that this show was about cooking turns out its just about who can be the biggest bitch'
GOLD SEQ: 	 b'well i was under the illusion that this show was about cooking turns out its just about who can be the biggest jerk'
PRED SEQ:	 b'well i was under the illusion that this show was about cooking turns out its just about who can be the biggest female'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]
GOLD TOK: 	 [['jerk']]
PRED TOK: 	 [['female']]
################################################################################
IN SEQ: 	 b'i don ##t think girls should do no shave november'
GOLD SEQ: 	 b'i don ##t think anyone should do no shave november'
PRED SEQ:	 b'i don ##t think girls should do no shave november november no shave november'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['anyone']]
