################################################################################
IN SEQ: 	 b"im not sex ##ist but this female bus driver can ' t reverse property"
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]
GOLD TOK: 	 [['people']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'women should take the passive role in courtship'
GOLD SEQ: 	 b'individuals can decide if they want to take the passive role in courtship'
PRED SEQ:	 b'persons take the passive role in courtship'
GOLD DIST: 	 [1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['individuals', 'can', 'decide', 'if', 'they', 'want', 'to']]
PRED TOK: 	 [['persons']]
################################################################################
IN SEQ: 	 b'a woman preacher just does not feel right some things should just be left to men'
GOLD SEQ: 	 b'a monkey preacher just does not feel right some things should just be left to people'
PRED SEQ:	 b'a preacher just does not feel right some things should just be left to be left to persons'
GOLD DIST: 	 [0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]
PRED DIST: 	 [0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]
GOLD TOK: 	 [['monkey'], ['people']]
PRED TOK: 	 [['be', 'left', 'to', 'persons']]
################################################################################
IN SEQ: 	 b'women shop more than men because they can t decide what to buy'
GOLD SEQ: 	 b"some individuals shop more than others because they can ' t decide what to buy"
PRED SEQ:	 b'shop more than humans because they can t decide what to buy'
GOLD DIST: 	 [1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['some', 'individuals'], ['others'], ["'"]]
PRED TOK: 	 [['humans']]
################################################################################
IN SEQ: 	 b'in accompanying a lady somewhere at night a gentleman should never fail to offer his arm'
GOLD SEQ: 	 b'in accompanying a lady somewhere at night a gentleman may fail to offer his arm'
PRED SEQ:	 b'in accompanying a lady somewhere at night a gentleman'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['may']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'call me sex ##ist but it really piss ##es me off when girls who know fuck all about football win huge bets'
GOLD SEQ: 	 b'it really piss ##es me off when people who know nothing about football win huge bets'
PRED SEQ:	 b'it really piss ##es me off when who know me off when girls who know about football win huge bets win huge bets about'
GOLD DIST: 	 [1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['people'], ['nothing']]
PRED TOK: 	 [['who', 'know', 'me', 'off', 'when'], ['win', 'huge', 'bets', 'about']]
################################################################################
IN SEQ: 	 b'im not sex ##ist but girls riding bikes just looks weird'
GOLD SEQ: 	 b'call me boring but horses riding bikes just looks weird'
PRED SEQ:	 b'but riding bikes just looks weird but riding bikes just looks weird'
GOLD DIST: 	 [1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['call', 'me', 'boring'], ['horses']]
PRED TOK: 	 [['but', 'riding', 'bikes', 'just', 'looks', 'weird']]
################################################################################
IN SEQ: 	 b'i have concluded that by the very nature of the thought pattern of women that they rec ##ie ##ve lies better than truth'
GOLD SEQ: 	 b'i have concluded that by the very nature of the thought patterns of people that they rec ##ie ##ve lies better than truth'
PRED SEQ:	 b'i have concluded that by the very nature of the thought pattern of humans that they rec ##ie ##ve lies better than truth'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['patterns'], ['people']]
PRED TOK: 	 [['humans']]
################################################################################
IN SEQ: 	 b'by her saying anything a man can do a women can easily do twice as good don ##t be a h ##yp ##oc ##rite'
GOLD SEQ: 	 b'by them saying anything someone can do another person can easily do twice as good don ##t be a h ##yp ##oc ##rite'
PRED SEQ:	 b'by her saying anything a person can do a can easily do twice as good don ##t be a h ##yp ##oc ##rite'
GOLD DIST: 	 [0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['them'], ['someone'], ['another', 'person']]
PRED TOK: 	 [['person']]
################################################################################
IN SEQ: 	 b'there are many jobs in which men should be given preference over women in being hired or promoted'
GOLD SEQ: 	 b'there are many jobs in which men are still given preference over women in being hired or promoted'
PRED SEQ:	 b'there are many jobs in which men may have given preference over women in being hired or promoted'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['are', 'still']]
PRED TOK: 	 [['may', 'have']]
################################################################################
IN SEQ: 	 b"a man ' s place is in the home"
GOLD SEQ: 	 b"a person ' s place is in the home"
PRED SEQ:	 b"a person ' s place is in the home"
GOLD DIST: 	 [0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['person']]
PRED TOK: 	 [['person']]
################################################################################
IN SEQ: 	 b'compared to men women tend to be gu ##lli ##ble'
GOLD SEQ: 	 b'some people are more gu ##lli ##ble than others'
PRED SEQ:	 b'persons'
GOLD DIST: 	 [1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['some', 'people', 'are', 'more'], ['than', 'others']]
PRED TOK: 	 [['persons']]
################################################################################
IN SEQ: 	 b'women are more devout individuals than men are'
GOLD SEQ: 	 b'women maybe more devout individuals than men are'
PRED SEQ:	 b'women claim more devout individuals than men are'
GOLD DIST: 	 [0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['maybe']]
PRED TOK: 	 [['claim']]
################################################################################
IN SEQ: 	 b'it really piss ##es me off when anime girls don ##t have big boo ##bs'
GOLD SEQ: 	 b'it really piss ##es me off when anime characters don ##t have big guns'
PRED SEQ:	 b'it really piss ##es me off when anime don ##t have big big don ##t have'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0]
GOLD TOK: 	 [['characters'], ['guns']]
PRED TOK: 	 [['big', 'don', '##t', 'have']]
################################################################################
IN SEQ: 	 b"i swear girls can ' t handle their drugs as well as men"
GOLD SEQ: 	 b"i swear some people can ' t handle their drugs as well as others"
PRED SEQ:	 b"i swear girls can ' t handle their drugs as well as well as humans"
GOLD DIST: 	 [0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]
PRED DIST: 	 [0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]
GOLD TOK: 	 [['some', 'people'], ['others']]
PRED TOK: 	 [['well', 'as', 'humans']]
################################################################################
IN SEQ: 	 b'women are territorial about their kitchens'
GOLD SEQ: 	 b'people are territorial about their kitchens'
PRED SEQ:	 b'are territorial about their kitchens'
GOLD DIST: 	 [1.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [1.0, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['people']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'a guy will lose respect if he talks about his problems'
GOLD SEQ: 	 b'a guy will not lose respect if he talks about his problems'
PRED SEQ:	 b'a guy will lose respect if he talks about his problems'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['not']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'in a predominantly male work place being good at what i do e ##qua ##tes to be doing it like a man'
GOLD SEQ: 	 b'in a predominantly diverse work place being good at what i do e ##qua ##tes to be doing it like everyone else'
PRED SEQ:	 b'in a predominantly work place being good at what i do e ##qua ##tes to be doing it like a person'
GOLD DIST: 	 [0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0]
GOLD TOK: 	 [['diverse'], ['everyone', 'else']]
PRED TOK: 	 [['person']]
################################################################################
IN SEQ: 	 b'i hate female receptionist ##s , they always give me attitude like im the reason their boyfriend broke up with em'
GOLD SEQ: 	 b'i hate receptionist ##s , they always give me attitude like im the reason their partner broke up with em'
PRED SEQ:	 b'i hate receptionist ##s , they always give me attitude like im the reason their their broke up with em'
GOLD DIST: 	 [0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['partner']]
PRED TOK: 	 [['their']]
################################################################################
IN SEQ: 	 b'the husband should handle the money'
GOLD SEQ: 	 b'either partner can handle the money'
PRED SEQ:	 b'the money may help the money'
GOLD DIST: 	 [1.0, 1.0, 1.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [1.0, 1.0, 1.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['either', 'partner', 'can']]
PRED TOK: 	 [['may', 'help', 'the', 'money']]
################################################################################
IN SEQ: 	 b'can ##t believe educated liberal women buy into that oppression'
GOLD SEQ: 	 b'can ##t believe educated liberal people buy into that oppression'
PRED SEQ:	 b'can ##t believe educated liberal liberal into that oppression'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['people']]
PRED TOK: 	 [['liberal']]
################################################################################
IN SEQ: 	 b"the sound of female hockey fans sc ##ree ##ching at the ice from nose ##ble ##ed ##s is causing me pain i ' d rather hear the boys yell"
GOLD SEQ: 	 b"the sound of some hockey fans sc ##ree ##ching at the ice from nose ##ble ##ed ##s is causing me pain i ' d rather hear the others yell"
PRED SEQ:	 b"the sound of female fans sc ##ree ##ching at the ice from nose ##ble ##ed ##s is causing me pain i ' d rather hear the boys yell"
GOLD DIST: 	 [0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]
GOLD TOK: 	 [['some'], ['others']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'sorry but real women show up for their commitments'
GOLD SEQ: 	 b'sorry but real adults show up for their commitments'
PRED SEQ:	 b'sorry but real real women show up for their commitments'
GOLD DIST: 	 [0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['adults']]
PRED TOK: 	 [['real']]
################################################################################
IN SEQ: 	 b'there is something really sexy about seeing a hot woman handle a gun'
GOLD SEQ: 	 b'there is something really sexy about seeing a hot person handle a gun'
PRED SEQ:	 b'there is something really sexy about seeing a hot gun handle a gun'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['person']]
PRED TOK: 	 [['gun']]
################################################################################
IN SEQ: 	 b'women can ##t tell us what to do'
GOLD SEQ: 	 b'women can tell us what to do'
PRED SEQ:	 b'women can ##t tell us what to do'
GOLD DIST: 	 [0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'if a woman marries a good man she wil have a happy life as long as she herself is not ambitious is quiet obe ##die ##nt'
GOLD SEQ: 	 b'if a teacher marries a good doctor they will have a happy life as long as they themselves are also ambitious'
PRED SEQ:	 b'if a good a good person marries a happy life as long as long as she'
GOLD DIST: 	 [0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0]
PRED DIST: 	 [0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0]
GOLD TOK: 	 [['teacher'], ['doctor', 'they', 'will'], ['they', 'themselves', 'are', 'also']]
PRED TOK: 	 [['good'], ['person', 'marries'], ['long', 'as']]
################################################################################
IN SEQ: 	 b'some jobs are not appropriate for women'
GOLD SEQ: 	 b'all jobs are appropriate for women'
PRED SEQ:	 b'some jobs are appropriate for women'
GOLD DIST: 	 [1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['all']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'a woman should realize that just as she is not suited for heavy physical work there are also other jobs that she is not suited for because of her mental and emotional nature'
GOLD SEQ: 	 b'some individuals should realize that just as they are not suited for heavy physical work there are also other jobs that they are not suited for because of their mental and emotional nature'
PRED SEQ:	 b'a person should realize that just as she is not suited for heavy physical work there are also other jobs that she may may be not suited for because of her mental and emotional nature'
GOLD DIST: 	 [1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['some', 'individuals'], ['they', 'are'], ['they', 'are'], ['their']]
PRED TOK: 	 [['person'], ['may', 'may', 'be']]
################################################################################
IN SEQ: 	 b'a wife shouldn t contra ##dict her husband in public'
GOLD SEQ: 	 b'a wife could contra ##dict her husband in public'
PRED SEQ:	 b'a wife shouldn contra ##dict her husband in public'
GOLD DIST: 	 [0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['could']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'well pa for a girls meal once if were tr ing to get luck if we do it more than a few times we actual ##l like ou'
GOLD SEQ: 	 b'well pa for a meal once if were interested if we do it more than a few times we actual ##l like ou'
PRED SEQ:	 b'well pa for a meal once if were were tr ##ots meal once if we do it more than a few times we actual ##l like ou ##l like ou'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['interested']]
PRED TOK: 	 [['were'], ['##ots', 'meal', 'once'], ['##l', 'like', 'ou']]
################################################################################
IN SEQ: 	 b'i only catch males when i play pokemon go'
GOLD SEQ: 	 b'i catch any pokemon when i play pokemon go'
PRED SEQ:	 b'i catch when i play pokemon go'
GOLD DIST: 	 [0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['any', 'pokemon']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'girls shouldn ##t speak unless they are spoken to 1st'
GOLD SEQ: 	 b'people shouldn ##t speak unless they are spoken to 1st'
PRED SEQ:	 b'shouldn ##t speak unless they are spoken to 1st'
GOLD DIST: 	 [1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['people']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'many men are only interested in sexual intercourse as a form of sexual stimulation'
GOLD SEQ: 	 b'many adult are only interested in sexual intercourse as a form of sexual stimulation'
PRED SEQ:	 b'many people are only interested in sexual intercourse as a form of sexual stimulation'
GOLD DIST: 	 [0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['adult']]
PRED TOK: 	 [['people']]
################################################################################
IN SEQ: 	 b'when they are on their periods women are easily distracted'
GOLD SEQ: 	 b'when they are on their periods children are easily distracted'
PRED SEQ:	 b'when they are on their periods are easily distracted distracted'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['children']]
PRED TOK: 	 [['distracted']]
################################################################################
IN SEQ: 	 b'i swear females i meet have more lying tendencies than men'
GOLD SEQ: 	 b'i swear females i meet have equal lying tendencies than men'
PRED SEQ:	 b'i swear females i meet have lying tendencies than men'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['equal']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'i pay the bills in this household its the least she can do'
GOLD SEQ: 	 b'i pay the bills in this household its the least they can do'
PRED SEQ:	 b'i pay the bills in this household its the least the least can do do'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]
GOLD TOK: 	 [['they']]
PRED TOK: 	 [['the', 'least'], ['do']]
################################################################################
IN SEQ: 	 b'call me sex ##ist but i hate to hear girls argue bout sports'
GOLD SEQ: 	 b'call me eli ##tist but i hate to hear amateurs argue bout sports'
PRED SEQ:	 b'call me sex but i hate but i hate but to hear bout sports'
GOLD DIST: 	 [0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['eli', '##tist'], ['amateurs']]
PRED TOK: 	 [['but', 'i', 'hate', 'but']]
################################################################################
IN SEQ: 	 b'a good wife knows her place is in the kitchen'
GOLD SEQ: 	 b'a good wife knows her place is not only in the kitchen'
PRED SEQ:	 b'a good wife knows her place is in the kitchen'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['not', 'only']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'women are cr ##inge'
GOLD SEQ: 	 b'comedians are cr ##inge'
PRED SEQ:	 b'are cr ##inge'
GOLD DIST: 	 [1.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [1.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['comedians']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'women are not very responsible during their men ##st ##ru ##al cycles'
GOLD SEQ: 	 b'women are very responsible at all times'
PRED SEQ:	 b'women are very responsible during performance of women are very responsible for activities'
GOLD DIST: 	 [0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]
PRED DIST: 	 [0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]
GOLD TOK: 	 [['at', 'all', 'times']]
PRED TOK: 	 [['performance', 'of', 'women', 'are', 'very', 'responsible', 'for', 'activities']]
################################################################################
IN SEQ: 	 b'women are more childish than men are'
GOLD SEQ: 	 b'someone are more childish than worker are'
PRED SEQ:	 b'are more childish than humans are'
GOLD DIST: 	 [1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]
PRED DIST: 	 [1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]
GOLD TOK: 	 [['someone'], ['worker']]
PRED TOK: 	 [['humans']]
################################################################################
IN SEQ: 	 b'i expected women to be a bit more sensible'
GOLD SEQ: 	 b'i expected the person to be a bit more sensible'
PRED SEQ:	 b'i expected women to be a bit more sensible'
GOLD DIST: 	 [0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['the', 'person']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'i strongly feel that text is written by a lady when i can smell the perfume'
GOLD SEQ: 	 b'i strongly feel that text is written by a lady when it is written well'
PRED SEQ:	 b'i strongly feel that text is written by a lady when a lady when'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0]
GOLD TOK: 	 [['it', 'is', 'written', 'well']]
PRED TOK: 	 [['a', 'lady', 'when']]
################################################################################
IN SEQ: 	 b"i ' m not sex ##ist but i can honestly say i ' ve never felt safe riding in a car with a woman driving"
GOLD SEQ: 	 b"i can honestly say i ' ve never felt safe riding in a car with some people driving"
PRED SEQ:	 b"i '"
GOLD DIST: 	 [1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0]
