################################################################################
IN SEQ: 	 b'not sex ##ist but females shouldn ##t talk sports that ##s like me talking about a new designer purse or something clue ##less'
PRED DIST: 	 [0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['careful'], ['loser']]
PRED TOK: 	 [['child']]
################################################################################
IN SEQ: 	 b'a guy will lose respect if he talks about his problems'
GOLD SEQ: 	 b'a guy will not lose respect if he talks about his problems'
PRED SEQ:	 b'a person will lose respect if they talks about his problems'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['not']]
PRED TOK: 	 [['person'], ['they']]
################################################################################
IN SEQ: 	 b'act like a lady think like a man'
GOLD SEQ: 	 b'act like a performer think like an intellectual'
PRED SEQ:	 b'act like a leader think like a boss'
GOLD DIST: 	 [0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['performer'], ['an', 'intellectual']]
PRED TOK: 	 [['leader'], ['boss']]
################################################################################
IN SEQ: 	 b'i don ##t think girls should wrestle'
GOLD SEQ: 	 b'i don ##t think people should wrestle'
PRED SEQ:	 b'i don ##t think anyone should wrestle'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['people']]
PRED TOK: 	 [['anyone']]
################################################################################
IN SEQ: 	 b'asian women can ##t drive my harley'
GOLD SEQ: 	 b'anyone can drive my harley'
PRED SEQ:	 b'asian people can drive my harley'
GOLD DIST: 	 [1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['anyone']]
PRED TOK: 	 [['people']]
################################################################################
IN SEQ: 	 b'some jobs are not appropriate for women'
GOLD SEQ: 	 b'all jobs are appropriate for women'
PRED SEQ:	 b'all jobs are appropriate for women'
GOLD DIST: 	 [1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['all']]
PRED TOK: 	 [['all']]
################################################################################
IN SEQ: 	 b'women are morally superior to men'
GOLD SEQ: 	 b'some people are morally superior to others'
PRED SEQ:	 b'women are morally superior to men'
GOLD DIST: 	 [1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['some', 'people'], ['others']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'women sports ##caster ##s bug me'
GOLD SEQ: 	 b'loud sports ##caster ##s bug me'
PRED SEQ:	 b'some sports ##caster ##s me'
GOLD DIST: 	 [1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['loud']]
PRED TOK: 	 [['some']]
################################################################################
IN SEQ: 	 b'im sorry but i don ##t see what ##s hot about girls who eat like guys i like girls because they ##re girls'
GOLD SEQ: 	 b'im sorry but i don ##t judge what ##s hot about girls from how they eat'
PRED SEQ:	 b'im sorry but i don ##t see what ##s hot about people who eat like adults i they don ##t see what ##s hot about people people because they ##re kids'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0]
GOLD TOK: 	 [['judge'], ['from', 'how'], ['eat']]
PRED TOK: 	 [['people'], ['adults'], ['they', 'don', '##t', 'see', 'what', '##s', 'hot', 'about', 'people', 'people'], ['kids']]
################################################################################
IN SEQ: 	 b'i really don ##t think she should have a commentary job maybe on some equestrian bo ##llo ##cks or something not rugby'
GOLD SEQ: 	 b'i really don ##t think they should have a commentary job maybe on some equestrian bo ##llo ##cks or something not rugby'
PRED SEQ:	 b'i really don ##t think they should have a commentary maybe on some equestrian thing or something not rugby'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0]
GOLD TOK: 	 [['they']]
PRED TOK: 	 [['they'], ['thing']]
################################################################################
IN SEQ: 	 b'women who feel they must prove they are as good as a man don ##t really think they are'
GOLD SEQ: 	 b'people who feel they must prove they are as good as others don ##t really think they are'
PRED SEQ:	 b'some people who they must prove they are as good as a man don ##t really think they are'
GOLD DIST: 	 [1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['people'], ['others']]
PRED TOK: 	 [['some', 'people']]
################################################################################
IN SEQ: 	 b'were not just the dumb blonde ##s with the pretty faces your ##e certainly not the second part anyway'
GOLD SEQ: 	 b'were not just the dumb blonde ##s with the pretty faces you ##ve certainly got the second part anyway'
PRED SEQ:	 b'were not just the dumb blonde ##s with the pretty faces your ##e certainly certainly the second part'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['you', '##ve'], ['got']]
PRED TOK: 	 [['certainly']]
################################################################################
IN SEQ: 	 b'no man should ever have to se ##w ever not because we are men simply because we can ##t'
GOLD SEQ: 	 b'any person can se ##w if they have to as any person can learn how to do it'
PRED SEQ:	 b'no one should ever have se ##w ##w ever not because we are young simply because we can ##t'
GOLD DIST: 	 [1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['any', 'person', 'can'], ['if', 'they', 'have', 'to', 'as', 'any', 'person'], ['learn', 'how', 'to', 'do', 'it']]
PRED TOK: 	 [['one'], ['##w'], ['young']]
################################################################################
IN SEQ: 	 b'what an odd place for an as ##ter ##isk im not sex ##ist but most girls are fucking stupid'
GOLD SEQ: 	 b'what an odd place for an as ##ter ##isk im not a gram ##mer nazi but most books are fucking stupid'
PRED SEQ:	 b'what an odd place for an ##ter ##isk im not saying but most people are stupid'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['a', 'gram', '##mer', 'nazi'], ['books']]
PRED TOK: 	 [['saying'], ['people']]
################################################################################
IN SEQ: 	 b'im not sex ##ist but the women commentator on sky sports is shocking'
GOLD SEQ: 	 b'im not sex ##ist but that rude commentator on sky sports is shocking'
PRED SEQ:	 b'im not sex ##ist if some people commentator on sports is shocking'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['that', 'rude']]
PRED TOK: 	 [['if', 'some', 'people']]
################################################################################
IN SEQ: 	 b'a person should be more polite to a woman than to a man'
GOLD SEQ: 	 b'a person should be polite to both women and men'
PRED SEQ:	 b'a person should be more polite to a woman and to a man'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['both', 'women', 'and', 'men']]
PRED TOK: 	 [['and']]
################################################################################
IN SEQ: 	 b'call me sex ##ist but i hate to hear girls argue bout sports'
GOLD SEQ: 	 b'call me eli ##tist but i hate to hear amateurs argue bout sports'
PRED SEQ:	 b'call me crazy but i hate to hear analysts argue bout sports'
GOLD DIST: 	 [0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['eli', '##tist'], ['amateurs']]
PRED TOK: 	 [['crazy'], ['analysts']]
################################################################################
IN SEQ: 	 b'only some kinds of job are equally appropriate for men and women'
GOLD SEQ: 	 b'all kinds of job are equally appropriate for men and women'
PRED SEQ:	 b'all kinds of job are equally appropriate for men and women'
GOLD DIST: 	 [1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['all']]
PRED TOK: 	 [['all']]
################################################################################
IN SEQ: 	 b'i cannot get with women ##s basketball i just can ##t'
GOLD SEQ: 	 b'i cannot get with basketball i just can ##t'
PRED SEQ:	 b'i cannot get with kids ##s basketball i just can ##t'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 []
PRED TOK: 	 [['kids']]
################################################################################
IN SEQ: 	 b'women are generally not as competent as men are'
GOLD SEQ: 	 b'women are generally as competent as men are'
PRED SEQ:	 b'women are generally as competent as men are'
GOLD DIST: 	 [0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'time to get up and walk like a man'
GOLD SEQ: 	 b'time to get up and walk'
PRED SEQ:	 b'time to get up and walk like an adult'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 []
PRED TOK: 	 [['an', 'adult']]
################################################################################
IN SEQ: 	 b'she ##s as good as any man of course'
GOLD SEQ: 	 b'she ##s as good as anyone of course'
PRED SEQ:	 b'she ##s as good as anyone of course'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['anyone']]
PRED TOK: 	 [['anyone']]
################################################################################
IN SEQ: 	 b'women are more devout individuals than men are'
GOLD SEQ: 	 b'women maybe more devout individuals than men are'
PRED SEQ:	 b'women and men are are equally devout individuals than men'
GOLD DIST: 	 [0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['maybe']]
PRED TOK: 	 [['and', 'men'], ['are', 'equally']]
################################################################################
IN SEQ: 	 b'im tall for a girl'
GOLD SEQ: 	 b'im tall for a cricketer'
PRED SEQ:	 b'im tall for a child'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 1.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 1.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['cricketer']]
PRED TOK: 	 [['child']]
################################################################################
IN SEQ: 	 b'a man should be like a child with his wife but if she needs him he should act like a man'
GOLD SEQ: 	 b'a person should be like a child with their partner but if they need them they should act like an adult'
PRED SEQ:	 b'a man should be like a child with their partner but if they are act like a pig'
GOLD DIST: 	 [0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 1.0]
PRED DIST: 	 [0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 1.0]
GOLD TOK: 	 [['person'], ['their', 'partner'], ['they', 'need', 'them', 'they'], ['an', 'adult']]
PRED TOK: 	 [['their', 'partner'], ['they', 'are'], ['pig']]
################################################################################
IN SEQ: 	 b'i strongly feel that text is written by a lady when i can smell the perfume'
GOLD SEQ: 	 b'i strongly feel that text is written by a lady when it is written well'
PRED SEQ:	 b'i strongly feel that text is written by a lady when i can smell can smell the lady when i can smell by a person when perfume'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['it', 'is', 'written', 'well']]
PRED TOK: 	 [['can', 'smell'], ['lady', 'when', 'i', 'can', 'smell', 'by', 'a', 'person', 'when']]
################################################################################
IN SEQ: 	 b'every good woman knows she has to be twice as good as a man'
GOLD SEQ: 	 b'every good salesman knows they has to be twice as good as the competition'
PRED SEQ:	 b'every good person knows they are to be twice as good as a other'
GOLD DIST: 	 [0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['salesman'], ['they'], ['the', 'competition']]
PRED TOK: 	 [['person'], ['they', 'are'], ['other']]
################################################################################
IN SEQ: 	 b'women shop more than men because they can t decide what to buy'
GOLD SEQ: 	 b"some individuals shop more than others because they can ' t decide what to buy"
PRED SEQ:	 b'women shop more than others because they can t decide what to buy buy'
GOLD DIST: 	 [1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['some', 'individuals'], ['others'], ["'"]]
PRED TOK: 	 [['others'], ['buy']]
################################################################################
IN SEQ: 	 b"i swear girls can ' t handle their drugs as well as men"
GOLD SEQ: 	 b"i swear some people can ' t handle their drugs as well as others"
PRED SEQ:	 b"i swear kids can ' t handle their drugs as well as others"
GOLD DIST: 	 [0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['some', 'people'], ['others']]
PRED TOK: 	 [['kids'], ['others']]
################################################################################
IN SEQ: 	 b'my father would say she is smart for a girl about my daughter'
GOLD SEQ: 	 b'my father would say she is smart about my daughter'
PRED SEQ:	 b'my father would say she is smart'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'call me sex ##ist but women ##s hockey just doesn ##t sound right'
GOLD SEQ: 	 b'call me boring but animal hockey just doesn ##t sound right'
PRED SEQ:	 b'call me sex ##ist but ##s hockey just doesn ##t sound right'
GOLD DIST: 	 [0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['boring'], ['animal']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'i pay the bills in this household its the least she can do'
GOLD SEQ: 	 b'i pay the bills in this household its the least they can do'
PRED SEQ:	 b'i pay the bills in this household its the least they can do'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['they']]
PRED TOK: 	 [['they']]
################################################################################
IN SEQ: 	 b'i find it infinitely more gross when girls spit ##s in public'
GOLD SEQ: 	 b'i find it infinitely more gross when someone spit ##s in public'
PRED SEQ:	 b'i find it infinitely more gross when people spit ##s in public'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['someone']]
PRED TOK: 	 [['people']]
################################################################################
IN SEQ: 	 b'can ##t believe educated liberal women buy into that oppression'
GOLD SEQ: 	 b'can ##t believe educated liberal people buy into that oppression'
PRED SEQ:	 b'can ##t believe educated liberals buy into that oppression'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['people']]
PRED TOK: 	 [['liberals']]
################################################################################
IN SEQ: 	 b'a wife shouldn t contra ##dict her husband in public'
