################################################################################
IN SEQ: 	 b'i lo ##ath ##e how women still expect men to open doors and give up seats for them yet in the next breath demand equality'
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['some', 'people']]
PRED TOK: 	 [['draft']]
################################################################################
IN SEQ: 	 b'the husband is responsible for the family so the wife must obey him'
GOLD SEQ: 	 b'the husband is responsible for the family along with the wife'
PRED SEQ:	 b'the parents are responsible for the family so the wife'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['along', 'with']]
PRED TOK: 	 [['parents', 'are']]
################################################################################
IN SEQ: 	 b'far too much money is wasted on vocational and professional training for women'
GOLD SEQ: 	 b'far too much money is wasted on vocational and professional training for some people'
PRED SEQ:	 b'far too much money is wasted on vocational and professional training for everyone'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['some', 'people']]
PRED TOK: 	 [['everyone']]
################################################################################
IN SEQ: 	 b'girls live longer than boys and have superior language skills'
GOLD SEQ: 	 b"girls don ' t always live longer than boys and have equal language skills"
PRED SEQ:	 b'girls live longer than boys and have equal language skills'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['don', "'", 't', 'always'], ['equal']]
PRED TOK: 	 [['equal']]
################################################################################
IN SEQ: 	 b'a fathers main responsibility is to help his children financially'
GOLD SEQ: 	 b"a parent ' s main responsibility is to help their children financially"
PRED SEQ:	 b'a fathers parent responsibility is to help their children financially'
GOLD DIST: 	 [0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['parent', "'", 's'], ['their']]
PRED TOK: 	 [['parent'], ['their']]
################################################################################
IN SEQ: 	 b'i don ##t trust boys who use elliptical ##s'
GOLD SEQ: 	 b'i don ##t trust anyone who uses elliptical ##s'
PRED SEQ:	 b'i don ##t trust people who use elliptical ##s'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['anyone'], ['uses']]
PRED TOK: 	 [['people']]
################################################################################
IN SEQ: 	 b'women should not be allowed to call football games'
GOLD SEQ: 	 b'basketball players should not be allowed to call football games'
PRED SEQ:	 b'women should not be allowed to call football games'
GOLD DIST: 	 [1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['basketball', 'players']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'women are more fearful than men are'
GOLD SEQ: 	 b'both men and women are e ##qu ##lly fearful ##l'
PRED SEQ:	 b'women are equally fearful'
GOLD DIST: 	 [0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['both', 'men', 'and'], ['e', '##qu', '##lly'], ['##l']]
PRED TOK: 	 [['equally']]
################################################################################
IN SEQ: 	 b'women are responsible for childhood obesity'
GOLD SEQ: 	 b'parents are responsible for childhood obesity'
PRED SEQ:	 b'parents are responsible for childhood obesity'
GOLD DIST: 	 [1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['parents']]
PRED TOK: 	 [['parents']]
################################################################################
IN SEQ: 	 b'girls get more attention when they t ##wee ##t that ##s why they have 83 ##20 ##57 ##23 ##8 ##k followers re t ##wee ##ts and fa ##ves'
GOLD SEQ: 	 b'celebrities get more attention when they t ##wee ##t that ##s why they have 83 ##20 ##57 ##23 ##8 ##k followers re t ##wee ##ts and fa ##ves'
PRED SEQ:	 b'some people get more attention when they t ##wee ##t that ##s why they have 83 ##20 ##23 ##8 followers re t ##wee ##ts ##ves'
GOLD DIST: 	 [1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['celebrities']]
PRED TOK: 	 [['some', 'people']]
################################################################################
IN SEQ: 	 b'if my woman don ##t know about the game before we get married i ain ##t teaching her and she ##s banned to the bedroom during games'
GOLD SEQ: 	 b'if my woman don ##t know about the game before we get married that ##s fine and she ##s welcomed to the bedroom during games'
PRED SEQ:	 b'if my woman don ##t know about the game before we get married that ##s teaching their their person they ##re'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0]
GOLD TOK: 	 [['that', '##s', 'fine'], ['welcomed']]
PRED TOK: 	 [['that'], ['teaching', 'their', 'their', 'person', 'they', '##re']]
################################################################################
IN SEQ: 	 b'a woman whose job involves contact with the public e g sales ##person or teacher should not continue to work when she is noticeably pregnant'
GOLD SEQ: 	 b'a woman whose job involves contact with the public e g sales ##person or teacher should continue to work when she is noticeably pregnant only if she chooses to'
PRED SEQ:	 b'a woman whose job involves contact with the public e g sales ##person or teacher should not continue to work when she is noticeably pregnant'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['only', 'if', 'she', 'chooses', 'to']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'google straw man why is it that women want equal rights but also want to be cater ##ed at the same time'
GOLD SEQ: 	 b'google straw man why is it that people want equal rights but also want to be cater ##ed at the same time'
PRED SEQ:	 b'google man why is it that people want equal rights but also want to be cater ##ed at the same time'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['people']]
PRED TOK: 	 [['people']]
################################################################################
IN SEQ: 	 b'it is ridiculous for a woman to run a locomotive and for a man to dar ##n socks'
GOLD SEQ: 	 b'it is refreshing for a woman to run a locomotive and for a man to dar ##n socks'
PRED SEQ:	 b'it is fine for a woman to run a locomotive and for a man to dar ##n socks'
GOLD DIST: 	 [0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['refreshing']]
PRED TOK: 	 [['fine']]
################################################################################
IN SEQ: 	 b'not sex ##ist but i can ##t listen to a woman talk about men ##s basketball'
GOLD SEQ: 	 b'its sex ##ist if you can ##t listen to a woman talk about men ##s basketball'
PRED SEQ:	 b'not sex ##ist but i can ##t listen to a woman talk about men ##s basketball'
GOLD DIST: 	 [1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['its'], ['if', 'you']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'i don ##t want a woman come ##nta ##tor anywhere near my fifa games'
GOLD SEQ: 	 b'i don ##t want an amateur come ##nta ##tor anywhere near my fifa games'
PRED SEQ:	 b'i don ##t want anyone come ##tor ##tor anywhere near my fifa games'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['an', 'amateur']]
PRED TOK: 	 [['anyone'], ['##tor']]
################################################################################
IN SEQ: 	 b'call me sex ##ist but girls shouldn ##t do no shave november sorry'
GOLD SEQ: 	 b'call me silly but people should do no shave november if they wish to sorry'
PRED SEQ:	 b'call me boring but no one should do no shave november sorry'
GOLD DIST: 	 [0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['silly'], ['people', 'should'], ['if', 'they', 'wish', 'to']]
PRED TOK: 	 [['boring'], ['no', 'one', 'should']]
################################################################################
IN SEQ: 	 b'my father would say she is smart for a girl about my daughter'
GOLD SEQ: 	 b'my father would say she is smart about my daughter'
PRED SEQ:	 b'my father would say they is smart for a person about my daughter'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 []
PRED TOK: 	 [['they'], ['person']]
################################################################################
IN SEQ: 	 b'i believe men and women have their roles in the house'
GOLD SEQ: 	 b'i believe there are no set roles for men and women in the house'
PRED SEQ:	 b'i believe some people and women have their roles in the house'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['there', 'are', 'no', 'set', 'roles', 'for']]
PRED TOK: 	 [['some', 'people']]
################################################################################
IN SEQ: 	 b'i don ##t like women in mma especially sexy chicks fighting'
GOLD SEQ: 	 b'i like women in mma especially tough chicks fighting'
PRED SEQ:	 b'i don ##t like women in mma especially young adults fighting'
GOLD DIST: 	 [0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['tough']]
PRED TOK: 	 [['young', 'adults']]
################################################################################
IN SEQ: 	 b'men should never ever make the duck face in pictures'
GOLD SEQ: 	 b'people should never ever make the duck face in pictures'
PRED SEQ:	 b'people should never ever make the duck face in pictures'
GOLD DIST: 	 [1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['people']]
PRED TOK: 	 [['people']]
################################################################################
IN SEQ: 	 b'i only catch males when i play pokemon go'
GOLD SEQ: 	 b'i catch any pokemon when i play pokemon go'
PRED SEQ:	 b'i play catch when i play pokemon go'
GOLD DIST: 	 [0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['any', 'pokemon']]
PRED TOK: 	 [['play']]
################################################################################
IN SEQ: 	 b'i love a man who does the dishes'
GOLD SEQ: 	 b'i love a person who does the dishes'
PRED SEQ:	 b'i love a person who does the dishes'
GOLD DIST: 	 [0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['person']]
PRED TOK: 	 [['person']]
################################################################################
IN SEQ: 	 b'girls should put the tattoo machine down'
GOLD SEQ: 	 b'you should put the tattoo machine down'
PRED SEQ:	 b'people should put the tattoo machine down'
GOLD DIST: 	 [1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['you']]
PRED TOK: 	 [['people']]
################################################################################
IN SEQ: 	 b'men are asshole ##s'
GOLD SEQ: 	 b'men are okay'
PRED SEQ:	 b'men are not boring ##s'
GOLD DIST: 	 [0.0, 0.0, 1.0, 1.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 0.0, 1.0, 1.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['okay']]
PRED TOK: 	 [['not', 'boring']]
################################################################################
IN SEQ: 	 b'women who join the women s movement are typically frustrated and una ##tt ##ractive people who feel they lose out by the current rules of society'
GOLD SEQ: 	 b'women who join the women s movement are not typically frustrated and not una ##tt ##ractive people and they do not feel they lose out by the current rules of society'
PRED SEQ:	 b'women who join the women s movement are typically frustrated and una ##tt ##ractive they feel lose lose out by the current rules of society'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['not'], ['not'], ['and', 'they', 'do', 'not']]
PRED TOK: 	 [['feel', 'lose']]
################################################################################
IN SEQ: 	 b'its like going to the mall women just can t pick the one dress they like the most but dude ##s can'
GOLD SEQ: 	 b'its like going to the mall ind ##ec ##isi ##ve people just can t pick the one thing they like the most but others can'
PRED SEQ:	 b'its like to the mall just can t pick the one they like the most dude can'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['ind', '##ec', '##isi', '##ve', 'people'], ['thing'], ['others']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'except in special cases the wife should do the cooking and house cleaning and the husband should provide the family with money'
GOLD SEQ: 	 b'either partner can do the cooking and house cleaning and the other partner should provide the family with money'
PRED SEQ:	 b'a in special cases both spouse can do the cooking and house cleaning and the husband should provide the family with money'
GOLD DIST: 	 [1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['either', 'partner', 'can'], ['other', 'partner']]
PRED TOK: 	 [['a'], ['both', 'spouse', 'can']]
################################################################################
IN SEQ: 	 b'i think it is sad when girls have the lead because there are not enough guys that dance'
GOLD SEQ: 	 b'i think it is sad when amateurs have the lead because there are not enough professionals that dance'
PRED SEQ:	 b'i think it is sad when people have the lead because there are not enough that dance'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['amateurs'], ['professionals']]
PRED TOK: 	 [['people']]
################################################################################
IN SEQ: 	 b'in general the father should have greater authority than the mother in the bringing up of children'
GOLD SEQ: 	 b'in general the father should have the same amount of authority as the mother in the bringing up of children'
PRED SEQ:	 b'in general the father should have greater authority than the mother in the bringing up of children'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['the', 'same', 'amount', 'of'], ['as']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'a woman ##s purpose in life should be to take care of her family'
