################################################################################
IN SEQ: 	 b'the best thing a mother can teach her daughter is what it means to be a girl'
GOLD DIST: 	 [0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'men are better leaders than women'
GOLD SEQ: 	 b'men are not always better leaders than women'
PRED SEQ:	 b'men are better leaders than women'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['not', 'always']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'no one watches women s basketball i mean seriously not a lot of people do'
GOLD SEQ: 	 b'no one watches basketball i mean seriously not a lot of people do'
PRED SEQ:	 b'no one watches women basketball i mean seriously not a lot of people do of people do one watches'
GOLD DIST: 	 [0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 []
PRED TOK: 	 [['of', 'people', 'do', 'one', 'watches']]
################################################################################
IN SEQ: 	 b'in my little world it has always seemed that di ##y was best left to women ever done di ##y with a b ##lok ##e fucking nightmare'
GOLD SEQ: 	 b'in my little world it has always seemed that di ##y was best left to either men or women'
PRED SEQ:	 b'in my little world it has always seemed that di ##y was best left to women women ever done'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]
GOLD TOK: 	 [['either', 'men', 'or']]
PRED TOK: 	 [['women']]
################################################################################
IN SEQ: 	 b'the majority of women are gold digger ##s when they get the chance'
GOLD SEQ: 	 b'some people are gold digger ##s when they get the chance'
PRED SEQ:	 b'the most likely are gold digger ##s when they get the chance'
GOLD DIST: 	 [1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['some', 'people']]
PRED TOK: 	 [['most', 'likely']]
################################################################################
IN SEQ: 	 b'im not sex ##ist or anything but i hate when women do commentary on sports'
GOLD SEQ: 	 b"i don ' t mind when women do commentary on sports"
PRED SEQ:	 b'im ##pl ##ising'
GOLD DIST: 	 [1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['don', "'", 't', 'mind']]
PRED TOK: 	 [['##pl', '##ising']]
################################################################################
IN SEQ: 	 b'females should not comment ##ate on sport'
GOLD SEQ: 	 b'females should comment ##ate on sport'
PRED SEQ:	 b'females should not comment ##ate on sport'
GOLD DIST: 	 [0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'a major fault that women have is their personal vanity as shown by the exaggerated importance they attach to minute details of dress and groom ##ing'
GOLD SEQ: 	 b'a major fault that some ##on ##r have is their personal vanity as shown by the exaggerated importance they attach to minute details of dress and groom ##ing'
PRED SEQ:	 b'a major fault that women have is their personal vanity as shown by the exaggerated importance they attach to minute details of dress and groom ##ing'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['some', '##on', '##r']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'there are some things that appear less disgusting on males than females'
GOLD SEQ: 	 b'there is nothing that appear less disgusting on males than females'
PRED SEQ:	 b'there are some argue that appear less disgusting on males than females'
GOLD DIST: 	 [0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['is', 'nothing']]
PRED TOK: 	 [['argue']]
################################################################################
IN SEQ: 	 b'every man ought to have a woman whom he ad ##ores'
GOLD SEQ: 	 b'every person ought to have another whom they ad ##ore'
PRED SEQ:	 b'every person ought to have a person whom ad ##ores'
GOLD DIST: 	 [0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 0.0, 1.0]
PRED DIST: 	 [0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 0.0, 1.0]
GOLD TOK: 	 [['person'], ['another'], ['they'], ['##ore']]
PRED TOK: 	 [['person'], ['person']]
################################################################################
IN SEQ: 	 b'a wife shouldn t contra ##dict her husband in public'
GOLD SEQ: 	 b'a wife could contra ##dict her husband in public'
PRED SEQ:	 b'a wife shouldn contra ##dict her husband in public'
GOLD DIST: 	 [0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['could']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'couldn ##t give a fuck about women ##s football im sure some people will im sure some will call me sex ##ist'
GOLD SEQ: 	 b'couldn ##t give a fuck about football im sure some people will im sure some will call me ignorant'
PRED SEQ:	 b'couldn ##t give a fuck about football im sure some people will im sure some will call me some people will call me'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0]
GOLD TOK: 	 [['ignorant']]
PRED TOK: 	 [['some', 'people', 'will', 'call', 'me']]
################################################################################
IN SEQ: 	 b'i think dj ##ing looks les ##bo on girls ne ##gl'
GOLD SEQ: 	 b'i think dj ##ing looks awesome on girls ne ##gl'
PRED SEQ:	 b'i think dj ##ing looks on girls ne ##gl'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['awesome']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b"i fucking hate rich ass s ##nob ##by women that don ' t know their place in front of men"
GOLD SEQ: 	 b"i hate rich ass s ##nob ##by people that don ' t know how to behave in front of others"
PRED SEQ:	 b"i hate rich ass s ##nob ##by that don ' t know in front of alcoholic beverage s ."
GOLD DIST: 	 [0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0]
PRED DIST: 	 [0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0]
GOLD TOK: 	 [['people'], ['how', 'to', 'behave'], ['others']]
PRED TOK: 	 [['alcoholic', 'beverage', 's', '.']]
################################################################################
IN SEQ: 	 b'women should never be bored there ##s always some shit to clean or something to be cooked'
GOLD SEQ: 	 b'people should never be bored there ##s always some shit to clean or something to be cooked'
PRED SEQ:	 b'should never be bored there ##s always some shit to clean or something to be cooked'
GOLD DIST: 	 [1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['people']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'some equality in marriage is a good thing but by and large the husband ought to have the main say so in family matters'
GOLD SEQ: 	 b'some equality in marriage is a good thing but by and large the older one ought to have the main say so in family matters'
PRED SEQ:	 b'some equality in marriage is a good thing but by and large the the most ##is ought to have the main say so in family matters'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['older', 'one']]
PRED TOK: 	 [['the', 'most', '##is']]
################################################################################
IN SEQ: 	 b'girls that act like they care about sports'
GOLD SEQ: 	 b'people that act like they care about sports'
PRED SEQ:	 b'that act like they care about sports'
GOLD DIST: 	 [1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['people']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'our society says its sex ##ist to pay for a girls meal'
GOLD SEQ: 	 b'our society says its okay to pay for a friends meal'
PRED SEQ:	 b'our society says its ability to pay for a meal meal'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]
GOLD TOK: 	 [['okay'], ['friends']]
PRED TOK: 	 [['ability'], ['meal']]
################################################################################
IN SEQ: 	 b"i ' m not sex ##ist but it ' s extremely painful seeing some girls pretending to know what ' s going on in a football match"
GOLD SEQ: 	 b"it ' s extremely painful seeing someone who doesn ' t understand football pretending to know what ' s going on in a football match"
PRED SEQ:	 b"i '"
GOLD DIST: 	 [1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['someone', 'who', 'doesn', "'", 't', 'understand', 'football']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'i hate when i see the girl in a relationship driving the car around and the boy in the passenger seat'
GOLD SEQ: 	 b'i hate when i see a person in a relationship driving the car around and the other in the passenger seat'
PRED SEQ:	 b'i hate when i see the person in a relationship driving the car around and the passenger seat'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['a', 'person'], ['other']]
PRED TOK: 	 [['person']]
################################################################################
IN SEQ: 	 b'im not sex ##ist but having thor be a woman in the new comics is an idea im not so with'
GOLD SEQ: 	 b'having thor be a new character in the new comics is an idea im not so with'
PRED SEQ:	 b'im not film and having thor be a in the new comics is an idea im not so with having thor be so'
GOLD DIST: 	 [1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['new', 'character']]
PRED TOK: 	 [['film', 'and'], ['having', 'thor', 'be', 'so']]
################################################################################
IN SEQ: 	 b'women are inferior proving that you can still be an idiot regardless of your high iq'
GOLD SEQ: 	 b'some groups are inferior proving that you can still be an idiot regardless of your high iq'
PRED SEQ:	 b'are inferior proving that you can still be an idiot regardless of your high iq'
GOLD DIST: 	 [1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['some', 'groups']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'no matter what people say women really like dominant men'
GOLD SEQ: 	 b'no matter what people say women really like dominant men'
PRED SEQ:	 b'no matter what people say women really like dominant men'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'if a woman is married and chooses not to have sex with her husband she shouldn ##t be mad if he cheat ##s'
GOLD SEQ: 	 b'if a woman is married and chooses not to have sex with her husband she can be mad if he cheat ##s'
PRED SEQ:	 b'if a woman is married and chooses not to have sex with her husband she she cheat ##s be mad if he cheat ##s'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['can']]
PRED TOK: 	 [['she', 'cheat', '##s']]
################################################################################
IN SEQ: 	 b'women are more fearful than men are'
GOLD SEQ: 	 b'both men and women are e ##qu ##lly fearful ##l'
PRED SEQ:	 b'women are fearful than humans'
GOLD DIST: 	 [0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0]
PRED DIST: 	 [0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0]
GOLD TOK: 	 [['both', 'men', 'and'], ['e', '##qu', '##lly'], ['##l']]
PRED TOK: 	 [['humans']]
################################################################################
IN SEQ: 	 b'a young woman ##s skin was meant to be shown to an extent'
GOLD SEQ: 	 b'a young persons skin was meant to be shown to an extent'
PRED SEQ:	 b'a young skin was meant to be shown to an extent'
GOLD DIST: 	 [0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['persons']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'if your a guy and you don ##t open the car door for a girl or any door for that matter i have no respect for you'
GOLD SEQ: 	 b'if your a person and you don ##t open the car door for another disabled person or any door for that matter i have no respect for you'
PRED SEQ:	 b'if your a guy and you don ##t open the car door for a door or any door for that matter i have no respect for you'
GOLD DIST: 	 [0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['person'], ['another', 'disabled', 'person']]
PRED TOK: 	 [['door']]
################################################################################
IN SEQ: 	 b'the roads are a lot better and safer without the mom ##s on the school run'
GOLD SEQ: 	 b'the roads are a lot better and safer without the parents on the school run'
PRED SEQ:	 b'the roads are a lot better and safer without the person on the school run'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['parents']]
PRED TOK: 	 [['person']]
################################################################################
IN SEQ: 	 b'am i the only person who doesn ##t find any female comedian funny in any way at all'
GOLD SEQ: 	 b'am i the only person who doesn ##t find any newer comedians funny in any way at all'
PRED SEQ:	 b'am i the only person who doesn ##t find any any funny funny in any way at all'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['newer', 'comedians']]
PRED TOK: 	 [['any', 'funny']]
################################################################################
IN SEQ: 	 b'i don ##t trust no women and personally i don ##t think they even trust themselves i love ya ##ll though'
GOLD SEQ: 	 b'i don ##t trust no one and personally i don ##t think they even trust themselves i love ya ##ll though'
PRED SEQ:	 b'i don ##t trust no women and personally i don ##t think they even trust themselves i love ya ##ll though'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['one']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'its not right hearing a woman ##s voice when discussing football on television'
GOLD SEQ: 	 b'its nice hearing a woman ##s voice when discussing football on television'
PRED SEQ:	 b'its not hearing a woman ##s voice when discussing football on television'
GOLD DIST: 	 [0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['nice']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'it is more important for a wife to help her husband than to have a career herself'
GOLD SEQ: 	 b'it is equally important for a wife to help her husband and have a career herself'
PRED SEQ:	 b'it is important for a wife to help her husband to have a career herself important for a career'
GOLD DIST: 	 [0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['equally'], ['and']]
PRED TOK: 	 [['important', 'for', 'a', 'career']]
################################################################################
IN SEQ: 	 b'i don ##t like to play with women'
GOLD SEQ: 	 b'i don ##t like to play with kids'
PRED SEQ:	 b'i don ##t like to play with'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]
GOLD TOK: 	 [['kids']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'look like a girl act like a lady think like a man work like a boss make her day'
GOLD SEQ: 	 b'look like a child act like an adult think like a human work like a boss make her day'
PRED SEQ:	 b'look like a person act like a think like a work like a boss make her day'
GOLD DIST: 	 [0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['child'], ['an', 'adult'], ['human']]
PRED TOK: 	 [['person']]
################################################################################
IN SEQ: 	 b"you don ' t just erase thousands of years of weak females"
GOLD SEQ: 	 b"you don ' t just erase thousands of years of weak people"
PRED SEQ:	 b"you don ' t just erase thousands of weak females of weak humans"
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]
GOLD TOK: 	 [['people']]
PRED TOK: 	 [['of', 'weak', 'humans']]
################################################################################
IN SEQ: 	 b'i have a deep voice for a girl but that ##s okay its still attractive'
GOLD SEQ: 	 b'i have a deep voice for a person but that ##s okay its still attractive'
PRED SEQ:	 b'i have a deep voice for a but ##s okay its still attractive'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['person']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'i would be much more comfortable with a male boss than with a female boss'
GOLD SEQ: 	 b'i would be equally comfortable with a male boss and a female boss'
PRED SEQ:	 b'i would be much comfortable with a male boss than a female boss female boss'
GOLD DIST: 	 [0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['equally'], ['and']]
PRED TOK: 	 [['female', 'boss']]
################################################################################
IN SEQ: 	 b'i think that boy self ##ies are 100 times worse than girl self ##ies'
GOLD SEQ: 	 b'i think that boy and girl self ##ies are equally good'
PRED SEQ:	 b'i think that boy boy self ##ies'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['and'], ['are', 'equally', 'good']]
PRED TOK: 	 [['boy']]
################################################################################
IN SEQ: 	 b'did you know that when you look at a girl you rape her'
GOLD SEQ: 	 b'did you know that when you look at a girl you ad ##ore her'
PRED SEQ:	 b'did you know that when you look at a girl you her'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]
GOLD TOK: 	 [['ad', '##ore']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'have you ever been threatened with rape by a woman yes many times but only by feminist women'
GOLD SEQ: 	 b'have you ever been threatened with rape by someone yes many times but only by creepy adults'
PRED SEQ:	 b'have you ever been threatened with rape by a yes many times but only by by american actor'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0]
GOLD TOK: 	 [['someone'], ['creepy', 'adults']]
PRED TOK: 	 [['by', 'american', 'actor']]
################################################################################
IN SEQ: 	 b'not sex ##ist but i can ##t listen to a woman talk about men ##s basketball'
GOLD SEQ: 	 b'its sex ##ist if you can ##t listen to a woman talk about men ##s basketball'
PRED SEQ:	 b'sex ##ist'
GOLD DIST: 	 [1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 [['its'], ['if', 'you']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'the problem with feminism is when women want to be men'
GOLD SEQ: 	 b'the best part of feminism is when every person wants equality'
PRED SEQ:	 b'the claim is when feminism is when humans want to be'
GOLD DIST: 	 [0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0]
PRED DIST: 	 [0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0]
