################################################################################
IN SEQ: 	 b'not sex ##ist but females shouldn ##t talk sports that ##s like me talking about a new designer purse or something clue ##less'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 []
PRED TOK: 	 [['people'], ['on'], ['passion', 'of', 'batting', 'me', 'on', 'mechanics', 'ann', '##oys', 'the', 'out', 'passion']]
################################################################################
IN SEQ: 	 b'with the exception of sarah m i just don ##t find female comedians funny sorry'
GOLD SEQ: 	 b'with the exception of sarah m i find female comedians funny'
PRED SEQ:	 b'with the exception of sarah m i just don ##t find some people funny'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 []
PRED TOK: 	 [['some', 'people']]
################################################################################
IN SEQ: 	 b'truly a day without women should be renamed a day without cry baby feminist ##s'
GOLD SEQ: 	 b'truly a day without women should be renamed a day without providers of life'
PRED SEQ:	 b'truly a day without people should be renamed a day without'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['providers', 'of', 'life']]
PRED TOK: 	 [['people']]
################################################################################
IN SEQ: 	 b'fuck im not sex ##ist but i have a girl in my recruit school again'
GOLD SEQ: 	 b'fuck im careful but i have a loser in my recruit school again'
PRED SEQ:	 b'fuck im not sex ##ist but i have a girl in my recruit school again again'
GOLD DIST: 	 [0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['careful'], ['loser']]
PRED TOK: 	 [['again']]
################################################################################
IN SEQ: 	 b'a guy will lose respect if he talks about his problems'
GOLD SEQ: 	 b'a guy will not lose respect if he talks about his problems'
PRED SEQ:	 b'a guy will lose respect if they talks about their'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['not']]
PRED TOK: 	 [['they'], ['their']]
################################################################################
IN SEQ: 	 b'act like a lady think like a man'
GOLD SEQ: 	 b'act like a performer think like an intellectual'
PRED SEQ:	 b'act like a person think like an adult think like an adult think'
GOLD DIST: 	 [0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['performer'], ['an', 'intellectual']]
PRED TOK: 	 [['person'], ['an', 'adult', 'think', 'like', 'an', 'adult', 'think']]
################################################################################
IN SEQ: 	 b'i don ##t think girls should wrestle'
GOLD SEQ: 	 b'i don ##t think people should wrestle'
PRED SEQ:	 b'i don ##t think people should think wrestle people should wrestle i don ##t think people'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['people']]
PRED TOK: 	 [['people', 'should', 'think', 'wrestle', 'people'], ['i', 'don', '##t', 'think', 'people']]
################################################################################
IN SEQ: 	 b'asian women can ##t drive my harley'
GOLD SEQ: 	 b'anyone can drive my harley'
PRED SEQ:	 b'people can ##t drive my harley'
GOLD DIST: 	 [1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['anyone']]
PRED TOK: 	 [['people']]
################################################################################
IN SEQ: 	 b'some jobs are not appropriate for women'
GOLD SEQ: 	 b'all jobs are appropriate for women'
PRED SEQ:	 b'some jobs are not appropriate for people jobs are not appropriate'
GOLD DIST: 	 [1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['all']]
PRED TOK: 	 [['people', 'jobs', 'are', 'not', 'appropriate']]
################################################################################
IN SEQ: 	 b'women are morally superior to men'
GOLD SEQ: 	 b'some people are morally superior to others'
PRED SEQ:	 b'both people are morally to'
GOLD DIST: 	 [1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['some', 'people'], ['others']]
PRED TOK: 	 [['both', 'people']]
################################################################################
IN SEQ: 	 b'women sports ##caster ##s bug me'
GOLD SEQ: 	 b'loud sports ##caster ##s bug me'
PRED SEQ:	 b'people sports ##caster ##s bug me'
GOLD DIST: 	 [1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['loud']]
PRED TOK: 	 [['people']]
################################################################################
IN SEQ: 	 b'im sorry but i don ##t see what ##s hot about girls who eat like guys i like girls because they ##re girls'
GOLD SEQ: 	 b'im sorry but i don ##t judge what ##s hot about girls from how they eat'
PRED SEQ:	 b'im sorry but i don ##t see what ##s hot about people'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0]
GOLD TOK: 	 [['judge'], ['from', 'how'], ['eat']]
PRED TOK: 	 [['people']]
################################################################################
IN SEQ: 	 b'i really don ##t think she should have a commentary job maybe on some equestrian bo ##llo ##cks or something not rugby'
GOLD SEQ: 	 b'i really don ##t think they should have a commentary job maybe on some equestrian bo ##llo ##cks or something not rugby'
PRED SEQ:	 b'i really don ##t think they should have a commentary job maybe on some people'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0]
GOLD TOK: 	 [['they']]
PRED TOK: 	 [['they'], ['people']]
################################################################################
IN SEQ: 	 b'women who feel they must prove they are as good as a man don ##t really think they are'
GOLD SEQ: 	 b'people who feel they must prove they are as good as others don ##t really think they are'
PRED SEQ:	 b'people who don ##t really think they are as good as an adult they are must people they are really think they are as good'
GOLD DIST: 	 [1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['people'], ['others']]
PRED TOK: 	 [['people'], ['as', 'good', 'as', 'an', 'adult', 'they', 'are', 'must', 'people', 'they', 'are', 'really', 'think', 'they', 'are', 'as', 'good']]
################################################################################
IN SEQ: 	 b'were not just the dumb blonde ##s with the pretty faces your ##e certainly not the second part anyway'
GOLD SEQ: 	 b'were not just the dumb blonde ##s with the pretty faces you ##ve certainly got the second part anyway'
PRED SEQ:	 b'were not the the blonde ##s with the pretty pretty faces your ##e certainly the second part anyway'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['you', '##ve'], ['got']]
PRED TOK: 	 [['the'], ['pretty']]
################################################################################
IN SEQ: 	 b'no man should ever have to se ##w ever not because we are men simply because we can ##t'
GOLD SEQ: 	 b'any person can se ##w if they have to as any person can learn how to do it'
PRED SEQ:	 b'people should ever have to se ever because we are because we are people simply because we can ##t have not can'
GOLD DIST: 	 [1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['any', 'person', 'can'], ['if', 'they', 'have', 'to', 'as', 'any', 'person'], ['learn', 'how', 'to', 'do', 'it']]
PRED TOK: 	 [['people'], ['because', 'we', 'are', 'people'], ['have', 'not', 'can']]
################################################################################
IN SEQ: 	 b'what an odd place for an as ##ter ##isk im not sex ##ist but most girls are fucking stupid'
GOLD SEQ: 	 b'what an odd place for an as ##ter ##isk im not a gram ##mer nazi but most books are fucking stupid'
PRED SEQ:	 b'what an odd place for an as as ##ter ##isk im not sex ##ist'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['a', 'gram', '##mer', 'nazi'], ['books']]
PRED TOK: 	 [['as']]
################################################################################
IN SEQ: 	 b'im not sex ##ist but the women commentator on sky sports is shocking'
GOLD SEQ: 	 b'im not sex ##ist but that rude commentator on sky sports is shocking'
PRED SEQ:	 b'im not sex ##ist but the people commentator on sports is shocking is'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['that', 'rude']]
PRED TOK: 	 [['people'], ['is']]
################################################################################
IN SEQ: 	 b'a person should be more polite to a woman than to a man'
GOLD SEQ: 	 b'a person should be polite to both women and men'
PRED SEQ:	 b'a person should be more polite to to a person'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['both', 'women', 'and', 'men']]
PRED TOK: 	 [['person']]
################################################################################
IN SEQ: 	 b'call me sex ##ist but i hate to hear girls argue bout sports'
GOLD SEQ: 	 b'call me eli ##tist but i hate to hear amateurs argue bout sports'
PRED SEQ:	 b'call me boring but i hate to hear people argue bout sports bout sports'
GOLD DIST: 	 [0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['eli', '##tist'], ['amateurs']]
PRED TOK: 	 [['boring'], ['people'], ['bout', 'sports']]
################################################################################
IN SEQ: 	 b'only some kinds of job are equally appropriate for men and women'
GOLD SEQ: 	 b'all kinds of job are equally appropriate for men and women'
PRED SEQ:	 b'only some kinds of job are equally appropriate for some people and people and people are equally of job for some people'
GOLD DIST: 	 [1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['all']]
PRED TOK: 	 [['some', 'people'], ['people', 'and', 'people', 'are', 'equally', 'of', 'job', 'for', 'some', 'people']]
################################################################################
IN SEQ: 	 b'i cannot get with women ##s basketball i just can ##t'
GOLD SEQ: 	 b'i cannot get with basketball i just can ##t'
PRED SEQ:	 b'i cannot get with people basketball ##s basketball i can ##t ##t just get people ##s ##s'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 []
PRED TOK: 	 [['people', 'basketball'], ['##t', 'just', 'get', 'people', '##s', '##s']]
################################################################################
IN SEQ: 	 b'women are generally not as competent as men are'
GOLD SEQ: 	 b'women are generally as competent as men are'
PRED SEQ:	 b'women are generally not as competent as men are are generally generally as competent not are not not as as others'
GOLD DIST: 	 [0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 []
PRED TOK: 	 [['are', 'generally', 'generally', 'as', 'competent', 'not', 'are', 'not', 'not', 'as', 'as', 'others']]
################################################################################
IN SEQ: 	 b'time to get up and walk like a man'
GOLD SEQ: 	 b'time to get up and walk'
PRED SEQ:	 b'time to get up and walk'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'she ##s as good as any man of course'
GOLD SEQ: 	 b'she ##s as good as anyone of course'
PRED SEQ:	 b'they ##s as good as anyone else'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['anyone']]
PRED TOK: 	 [['they'], ['anyone', 'else']]
################################################################################
IN SEQ: 	 b'women are more devout individuals than men are'
GOLD SEQ: 	 b'women maybe more devout individuals than men are'
PRED SEQ:	 b'women are equally devout individuals than men are are individuals'
GOLD DIST: 	 [0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['maybe']]
PRED TOK: 	 [['equally'], ['are', 'individuals']]
################################################################################
IN SEQ: 	 b'im tall for a girl'
GOLD SEQ: 	 b'im tall for a cricketer'
PRED SEQ:	 b'im tall for a person tall for anyone im im tall for a person'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 1.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 1.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['cricketer']]
PRED TOK: 	 [['person', 'tall', 'for', 'anyone', 'im', 'im', 'tall', 'for', 'a', 'person']]
################################################################################
IN SEQ: 	 b'a man should be like a child with his wife but if she needs him he should act like a man'
GOLD SEQ: 	 b'a person should be like a child with their partner but if they need them they should act like an adult'
PRED SEQ:	 b'people should be like a child with their spouse but if they should be like a child like an adult'
GOLD DIST: 	 [0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 1.0]
PRED DIST: 	 [0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 1.0]
GOLD TOK: 	 [['person'], ['their', 'partner'], ['they', 'need', 'them', 'they'], ['an', 'adult']]
PRED TOK: 	 [['people'], ['their', 'spouse'], ['they'], ['be'], ['child', 'like', 'an', 'adult']]
################################################################################
IN SEQ: 	 b'i strongly feel that text is written by a lady when i can smell the perfume'
GOLD SEQ: 	 b'i strongly feel that text is written by a lady when it is written well'
PRED SEQ:	 b'i strongly feel that text is written by a lady when i can smell the perfume'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['it', 'is', 'written', 'well']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'every good woman knows she has to be twice as good as a man'
GOLD SEQ: 	 b'every good salesman knows they has to be twice as good as the competition'
PRED SEQ:	 b'every good person knows they has to be twice as as as an adult they are good'
GOLD DIST: 	 [0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['salesman'], ['they'], ['the', 'competition']]
PRED TOK: 	 [['person'], ['they'], ['as', 'an', 'adult', 'they', 'are', 'good']]
################################################################################
IN SEQ: 	 b'women shop more than men because they can t decide what to buy'
GOLD SEQ: 	 b"some individuals shop more than others because they can ' t decide what to buy"
PRED SEQ:	 b'people shop more than men because they can t decide what to buy'
GOLD DIST: 	 [1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['some', 'individuals'], ['others'], ["'"]]
PRED TOK: 	 [['people']]
################################################################################
IN SEQ: 	 b"i swear girls can ' t handle their drugs as well as men"
GOLD SEQ: 	 b"i swear some people can ' t handle their drugs as well as others"
PRED SEQ:	 b"i swear people can ' t handle their drugs as well as"
GOLD DIST: 	 [0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['some', 'people'], ['others']]
